REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars),value_per_hectare,value_per_tonne
1908,AB,Barley,15.0,1585.0,84000.0,129800.0,53000.0,1296,0.024452830188679244,0.015428571428571429
1908,AB,Flaxseed,29.0,950.0,1900.0,5900.0,2000.0,56,0.028,0.029473684210526315
1908,AB,Oats,18.0,1675.0,352000.0,519400.0,210000.0,6316,0.030076190476190475,0.017943181818181816
1908,AB,"Rye, all",23.0,1665.0,5000.0,6500.0,3000.0,117,0.039,0.0234
1908,AB,Sugar beets,0.55,4326.875,38100.0,5200.0,2100.0,208,0.09904761904761905,0.005459317585301837
1908,AB,Tame hay,0.84,4326.875,101000.0,57100.0,20000.0,846,0.0423,0.008376237623762377
1908,AB,"Wheat, all",25.0,1690.0,186000.0,271000.0,110000.0,4617,0.04197272727272727,0.02482258064516129
1908,CA,Barley,21.0,1440.0,1016850.0,1442000.0,590725.0,21353,0.03614710736806467,0.02099916408516497
1908,CA,"Beans, all dry (white and coloured)",59.0,1395.0,33800.0,59900.0,24200.0,1988,0.08214876033057851,0.05881656804733728
1908,CA,Buckwheat,27.0,1320.0,155700.0,291300.0,117950.0,4269,0.03619330224671471,0.02741811175337187
1908,CA,Corn for grain,20.0,3935.0,580600.0,365800.0,147600.0,11834,0.08017615176151761,0.02038236307268343
1908,CA,Corn for silage,0.44,4326.875,1357550.0,259800.0,105100.0,11812,0.11238820171265461,0.008700968656771389
1908,CA,Flaxseed,38.0,680.0,38100.0,139300.0,56000.0,1457,0.02601785714285714,0.038241469816272966
1908,CA,Mixed grains,26.0,1650.0,388750.0,581900.0,235550.0,10140,0.04304818509870516,0.026083601286173635
1908,CA,Oats,25.0,1205.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1908,CA,"Peas, dry",31.0,1150.0,192100.0,412900.0,167050.0,5970,0.03573780305297815,0.03107756376887038
1908,CA,"Rye, all",29.0,1065.0,43902.0,100300.0,41281.0,1262,0.03057096485065769,0.028745843013985695
1908,CA,Sugar beets,0.58,4326.875,98900.0,10800.0,4400.0,578,0.13136363636363638,0.005844287158746208
1908,CA,Tame hay,1.17,3120.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1908,CA,"Wheat, all",30.0,1145.0,1357550.0,1442000.0,590725.0,48299,0.08176224131364002,0.035578063423078336
1908,MA,Barley,18.0,1390.0,372000.0,662500.0,268000.0,6705,0.02501865671641791,0.018024193548387097
1908,MA,Flaxseed,38.0,790.0,7100.0,23400.0,9000.0,273,0.030333333333333334,0.038450704225352114
1908,MA,Oats,21.0,1290.0,690000.0,1322800.0,535000.0,14263,0.02665981308411215,0.020671014492753624
1908,MA,"Peas, dry",15.0,1415.0,850.0,1600.0,600.0,13,0.021666666666666667,0.015294117647058824
1908,MA,"Rye, all",20.0,1000.0,3000.0,6300.0,3000.0,61,0.02033333333333333,0.02033333333333333
1908,MA,Tame hay,0.82,3900.0,195000.0,119200.0,50000.0,1592,0.03184,0.008164102564102564
1908,MA,"Wheat, all",31.0,1145.0,1357550.0,1442000.0,590725.0,41924,0.0709704177070549,0.030882103789915658
